date,gl_account,amount,description,opco,project_id,source_system,gl_category,city
2025-06-11,8000,462.0,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-11,8000,7.28,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-11,8000,134.38,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-11,8000,20.0,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-11,8000,12.82,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-11,8000,151.88,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-11,8000,20.0,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-12,8000,35.65,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-12,8000,9.62,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-12,8000,241.88,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-12,8000,20.0,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-13,8000,174.0,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-13,8000,17.15,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-13,8000,84.38,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-13,8000,20.0,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-13,8000,922.25,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-16,8000,11672.5,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-17,8000,2565.22,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-17,8000,27.0,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-17,8000,67.5,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-17,8000,20.0,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-17,8000,1635.9,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-17,8000,23.24,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-17,8000,945.0,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-17,8000,20.0,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-18,8000,6675.0,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-18,8000,530.83,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-18,8000,371.25,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-18,8000,20.0,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-19,8000,2577.0,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-23,8000,467.0,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-24,8000,8420.0,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-24,8000,104.49,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-24,8000,421.88,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-24,8000,-80.0,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-24,8000,42000.0,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-24,8000,343.15,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-24,8000,2160.0,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-24,8000,20.0,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-25,8000,357.0,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
2025-06-25,8000,13.5,Omzet hoog,Portfolio Company Heeze,PRJ-HEE-001,Exact,billing,Heeze
