date,gl_account,amount,description,opco,project_id,source_system,gl_category,city
2025-06-10,9000,24.79,001 - Kas,Portfolio Company Winschoten,PRJ-WINS-001,Exact,overhead,Winschoten
2025-12-01,9000,-37331.24,008 - MMEM,Portfolio Company Winschoten,PRJ-WINS-001,Exact,overhead,Winschoten
2025-12-01,9000,-7705.0,008 - MMEM,Portfolio Company Winschoten,PRJ-WINS-001,Exact,overhead,Winschoten
2025-12-01,9000,-15960.0,008 - MMEM,Portfolio Company Winschoten,PRJ-WINS-001,Exact,overhead,Winschoten
2025-12-01,9000,-15960.0,008 - MMEM,Portfolio Company Winschoten,PRJ-WINS-001,Exact,overhead,Winschoten
2025-11-20,9000,-19622.79,008 - MMEM,Portfolio Company Winschoten,PRJ-WINS-001,Exact,overhead,Winschoten
2025-11-20,9000,-8906.44,008 - MMEM,Portfolio Company Winschoten,PRJ-WINS-001,Exact,overhead,Winschoten
2026-01-01,9000,8906.44,008 - MMEM,Portfolio Company Winschoten,PRJ-WINS-001,Exact,overhead,Winschoten
2026-01-01,9000,19622.79,008 - MMEM,Portfolio Company Winschoten,PRJ-WINS-001,Exact,overhead,Winschoten
2026-03-09,9000,15960.0,008 - MMEM,Portfolio Company Winschoten,PRJ-WINS-001,Exact,overhead,Winschoten
2026-03-17,9000,15960.0,008 - MMEM,Portfolio Company Winschoten,PRJ-WINS-001,Exact,overhead,Winschoten
2026-04-30,9000,6264.0,008 - MMEM,Portfolio Company Winschoten,PRJ-WINS-001,Exact,overhead,Winschoten
2026-04-30,9000,3606.67,008 - MMEM,Portfolio Company Winschoten,PRJ-WINS-001,Exact,overhead,Winschoten
2026-04-30,9000,7485.0,008 - MMEM,Portfolio Company Winschoten,PRJ-WINS-001,Exact,overhead,Winschoten
